// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
10104		-0.223972	0.094090	-0.970043	-0.349426	0.921403	0.170051	0.909801	0.377045	-0.173492
10105		-0.224075	0.093989	-0.970029	-0.349950	0.921196	0.170096	0.909574	0.377576	-0.173526
10106		-0.224099	0.094086	-0.970014	-0.349958	0.921174	0.170199	0.909565	0.377606	-0.173508
10107		-0.224096	0.094113	-0.970012	-0.350185	0.921075	0.170266	0.909479	0.377840	-0.173453
10108		-0.224021	0.094240	-0.970017	-0.349837	0.921203	0.170290	0.909631	0.377497	-0.173400
10109		-0.223976	0.094191	-0.970032	-0.350161	0.921081	0.170288	0.909518	0.377808	-0.173318
10110		-0.223954	0.094326	-0.970024	-0.349907	0.921164	0.170359	0.909620	0.377571	-0.173293
10111		-0.223947	0.094201	-0.970038	-0.350369	0.920995	0.170326	0.909445	0.378015	-0.173249
10112		-0.223922	0.094306	-0.970034	-0.350200	0.921048	0.170383	0.909516	0.377858	-0.173218
10113		-0.223919	0.094164	-0.970048	-0.350635	0.920892	0.170330	0.909349	0.378273	-0.173188
10114		-0.223878	0.094213	-0.970053	-0.350686	0.920866	0.170370	0.909340	0.378326	-0.173122
10115		-0.223809	0.093870	-0.970102	-0.351836	0.920451	0.170236	0.908912	0.379418	-0.172979
10116		-0.223658	0.093906	-0.970133	-0.351684	0.920520	0.170183	0.909008	0.379243	-0.172856
10117		-0.223558	0.093759	-0.970171	-0.351848	0.920484	0.170034	0.908969	0.379365	-0.172792
10118		-0.223502	0.093767	-0.970183	-0.351504	0.920631	0.169954	0.909116	0.379008	-0.172803
10119		-0.223447	0.093645	-0.970207	-0.351653	0.920594	0.169845	0.909072	0.379128	-0.172773
10120		-0.223378	0.093749	-0.970213	-0.351177	0.920779	0.169826	0.909273	0.378652	-0.172759
10121		-0.223369	0.093638	-0.970226	-0.351334	0.920734	0.169746	0.909214	0.378790	-0.172765
10122		-0.223327	0.093786	-0.970221	-0.351070	0.920821	0.169820	0.909326	0.378541	-0.172719
10123		-0.223368	0.094049	-0.970186	-0.350616	0.920960	0.170000	0.909492	0.378136	-0.172738
10124		-0.223309	0.094141	-0.970191	-0.350222	0.921112	0.169989	0.909658	0.377742	-0.172722
10125		-0.223263	0.094256	-0.970190	-0.349638	0.921338	0.169970	0.909894	0.377163	-0.172745
10126		-0.223182	0.094365	-0.970199	-0.349029	0.921577	0.169926	0.910148	0.376552	-0.172743
10127		-0.223178	0.094173	-0.970218	-0.349414	0.921452	0.169815	0.910001	0.376906	-0.172742
10128		-0.223167	0.094223	-0.970216	-0.349132	0.921560	0.169804	0.910112	0.376628	-0.172766
10129		-0.223109	0.093978	-0.970253	-0.349811	0.921326	0.169678	0.909865	0.377261	-0.172682
10130		-0.223066	0.094027	-0.970258	-0.349682	0.921374	0.169683	0.909925	0.377132	-0.172647
10131		-0.222981	0.093951	-0.970285	-0.349990	0.921266	0.169636	0.909828	0.377415	-0.172543
10132		-0.222950	0.093973	-0.970290	-0.349944	0.921284	0.169635	0.909853	0.377367	-0.172515
10133		-0.222975	0.094060	-0.970276	-0.349581	0.921417	0.169660	0.909986	0.377020	-0.172571
10134		-0.223035	0.094026	-0.970265	-0.349410	0.921489	0.169618	0.910038	0.376851	-0.172671
10135		-0.223050	0.093918	-0.970272	-0.349464	0.921485	0.169532	0.910013	0.376889	-0.172716
10136		-0.223089	0.093901	-0.970265	-0.349261	0.921569	0.169492	0.910081	0.376688	-0.172795
10137		-0.223146	0.093704	-0.970271	-0.349627	0.921447	0.169397	0.909927	0.377034	-0.172855
10138		-0.223168	0.093721	-0.970264	-0.349659	0.921430	0.169428	0.909909	0.377073	-0.172864
10139		-0.223086	0.093682	-0.970287	-0.349759	0.921401	0.169378	0.909891	0.377153	-0.172785
10140		-0.223025	0.093679	-0.970301	-0.350016	0.921299	0.169399	0.909807	0.377401	-0.172684
10141		-0.222986	0.093577	-0.970320	-0.350658	0.921053	0.169410	0.909569	0.378027	-0.172569
10142		-0.222933	0.093505	-0.970339	-0.350883	0.920976	0.169363	0.909495	0.378232	-0.172507
10143		-0.222993	0.093460	-0.970330	-0.351050	0.920910	0.169375	0.909416	0.378404	-0.172547
10144		-0.223117	0.093325	-0.970314	-0.350908	0.920984	0.169269	0.909441	0.378258	-0.172739
10145		-0.223217	0.093202	-0.970303	-0.350586	0.921132	0.169131	0.909540	0.377927	-0.172937
10146		-0.223150	0.093180	-0.970320	-0.350230	0.921289	0.169016	0.909694	0.377551	-0.172951
10147		-0.223066	0.093277	-0.970330	-0.349650	0.921518	0.168965	0.909938	0.376966	-0.172945
10148		-0.222911	0.093239	-0.970370	-0.349486	0.921604	0.168836	0.910039	0.376766	-0.172850
10149		-0.222847	0.093064	-0.970401	-0.350136	0.921370	0.168768	0.909804	0.377382	-0.172740
10150		-0.222752	0.093048	-0.970425	-0.350164	0.921368	0.168721	0.909817	0.377391	-0.172654
10151		-0.222698	0.093021	-0.970440	-0.350428	0.921267	0.168724	0.909728	0.377644	-0.172567
10152		-0.222677	0.092995	-0.970447	-0.350582	0.921209	0.168721	0.909674	0.377791	-0.172529
10153		-0.222684	0.093037	-0.970441	-0.350398	0.921277	0.168728	0.909743	0.377614	-0.172554
10154		-0.222782	0.092963	-0.970426	-0.350407	0.921279	0.168698	0.909716	0.377627	-0.172670
10155		-0.222903	0.092903	-0.970404	-0.350456	0.921261	0.168698	0.909668	0.377687	-0.172794
10156		-0.223008	0.092806	-0.970389	-0.350332	0.921322	0.168624	0.909690	0.377563	-0.172949
10157		-0.223135	0.092787	-0.970361	-0.350435	0.921273	0.168676	0.909618	0.377687	-0.173052
10158		-0.223191	0.092770	-0.970350	-0.350431	0.921273	0.168681	0.909606	0.377689	-0.173111
10159		-0.223150	0.092684	-0.970368	-0.350509	0.921259	0.168598	0.909586	0.377746	-0.173092
10160		-0.223017	0.092649	-0.970402	-0.350260	0.921378	0.168465	0.909715	0.377464	-0.173032
10161		-0.222895	0.092660	-0.970429	-0.349704	0.921615	0.168321	0.909958	0.376881	-0.173020
10162		-0.222818	0.092538	-0.970458	-0.349567	0.921699	0.168150	0.910030	0.376707	-0.173023
10163		-0.222840	0.092419	-0.970464	-0.349373	0.921798	0.168008	0.910099	0.376493	-0.173125
10164		-0.222939	0.092253	-0.970457	-0.349566	0.921740	0.167926	0.910001	0.376676	-0.173243
10165		-0.223022	0.092158	-0.970447	-0.349977	0.921580	0.167946	0.909823	0.377090	-0.173280
10166		-0.223013	0.092048	-0.970460	-0.350279	0.921474	0.167897	0.909709	0.377375	-0.173258
10167		-0.222987	0.091892	-0.970481	-0.350660	0.921345	0.167811	0.909568	0.377729	-0.173225
10168		-0.222875	0.091810	-0.970514	-0.350890	0.921272	0.167732	0.909507	0.377927	-0.173113
10169		-0.222873	0.091644	-0.970530	-0.351206	0.921170	0.167634	0.909386	0.378217	-0.173118
10170		-0.222932	0.091486	-0.970532	-0.351320	0.921145	0.167529	0.909327	0.378315	-0.173212
10171		-0.222955	0.091368	-0.970538	-0.351508	0.921085	0.167462	0.909249	0.378489	-0.173243
10172		-0.222899	0.091242	-0.970562	-0.351601	0.921073	0.167338	0.909227	0.378550	-0.173225
10173		-0.222802	0.090988	-0.970608	-0.352282	0.920839	0.167188	0.908987	0.379178	-0.173111
10174		-0.222795	0.090874	-0.970621	-0.352436	0.920795	0.167107	0.908929	0.379312	-0.173122
10175		-0.222883	0.090986	-0.970590	-0.351943	0.920975	0.167154	0.909098	0.378848	-0.173248
10176		-0.222925	0.090921	-0.970586	-0.352206	0.920874	0.167159	0.908986	0.379110	-0.173263
10177		-0.222891	0.090733	-0.970612	-0.352644	0.920726	0.167051	0.908824	0.379515	-0.173225
10178		-0.222827	0.090619	-0.970637	-0.352837	0.920670	0.166954	0.908765	0.379678	-0.173176
10179		-0.222818	0.090446	-0.970655	-0.352879	0.920682	0.166794	0.908751	0.379689	-0.173228
10180		-0.222821	0.090281	-0.970670	-0.352536	0.920854	0.166573	0.908883	0.379312	-0.173359
10181		-0.222767	0.089932	-0.970715	-0.352193	0.921061	0.166156	0.909030	0.378893	-0.173508
10182		-0.222660	0.089732	-0.970758	-0.351415	0.921426	0.165775	0.909357	0.378050	-0.173632
10183		-0.222546	0.089753	-0.970782	-0.350473	0.921822	0.165571	0.909748	0.377080	-0.173692
10184		-0.222508	0.089566	-0.970808	-0.350134	0.921996	0.165313	0.909888	0.376697	-0.173792
10185		-0.222429	0.089282	-0.970852	-0.350451	0.921919	0.165073	0.909786	0.376953	-0.173773
10186		-0.222362	0.089091	-0.970885	-0.350645	0.921876	0.164902	0.909727	0.377104	-0.173750
10187		-0.222334	0.088838	-0.970915	-0.351060	0.921749	0.164730	0.909574	0.377474	-0.173749
10188		-0.222226	0.088588	-0.970962	-0.351210	0.921736	0.164479	0.909542	0.377564	-0.173721
10189		-0.222148	0.088139	-0.971021	-0.351874	0.921542	0.164149	0.909305	0.378142	-0.173705
10190		-0.222171	0.087766	-0.971050	-0.351699	0.921676	0.163770	0.909367	0.377902	-0.173902
10191		-0.222105	0.087487	-0.971090	-0.351307	0.921891	0.163405	0.909534	0.377444	-0.174022
10192		-0.221964	0.087188	-0.971149	-0.350634	0.922230	0.162937	0.909828	0.376684	-0.174131
10193		-0.221868	0.086854	-0.971201	-0.349951	0.922575	0.162451	0.910115	0.375915	-0.174295
10194		-0.221814	0.086550	-0.971240	-0.349021	0.923013	0.161963	0.910485	0.374909	-0.174529
10195		-0.221723	0.086312	-0.971282	-0.347991	0.923482	0.161503	0.910901	0.373806	-0.174721
10196		-0.221582	0.086047	-0.971338	-0.346837	0.924008	0.160975	0.911376	0.372565	-0.174899
10197		-0.221428	0.085710	-0.971403	-0.345958	0.924433	0.160425	0.911747	0.371587	-0.175043
10198		-0.221207	0.085451	-0.971476	-0.344779	0.924970	0.159867	0.912247	0.370308	-0.175148
10199		-0.221012	0.085193	-0.971543	-0.343576	0.925513	0.159315	0.912748	0.369009	-0.175279
