// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
12704		0.011872	0.078620	-0.996834	-0.519803	-0.851134	-0.073319	-0.854203	0.519028	0.030762
12705		0.012029	0.079033	-0.996799	-0.518529	-0.851869	-0.073799	-0.854975	0.517757	0.030734
12706		0.012055	0.079397	-0.996770	-0.517259	-0.852609	-0.074169	-0.855744	0.516482	0.030790
12707		0.011922	0.079742	-0.996744	-0.516327	-0.853151	-0.074430	-0.856309	0.515533	0.031001
12708		0.011794	0.080070	-0.996719	-0.515717	-0.853499	-0.074667	-0.856678	0.514906	0.031227
12709		0.011664	0.080216	-0.996709	-0.515298	-0.853746	-0.074741	-0.856932	0.514474	0.031377
12710		0.011364	0.080254	-0.996710	-0.515218	-0.853804	-0.074622	-0.856984	0.514371	0.031645
12711		0.011001	0.080175	-0.996720	-0.515432	-0.853698	-0.074360	-0.856860	0.514560	0.031934
12712		0.010669	0.079947	-0.996742	-0.515897	-0.853450	-0.073975	-0.856584	0.515006	0.032139
12713		0.010399	0.079638	-0.996770	-0.516491	-0.853128	-0.073550	-0.856229	0.515588	0.032261
12714		0.010068	0.079360	-0.996795	-0.517150	-0.852766	-0.073117	-0.855836	0.516229	0.032455
12715		0.009693	0.079142	-0.996816	-0.517692	-0.852471	-0.072716	-0.855512	0.516749	0.032708
12716		0.009234	0.078935	-0.996837	-0.518186	-0.852208	-0.072283	-0.855218	0.517215	0.033034
12717		0.008830	0.078687	-0.996860	-0.518556	-0.852020	-0.071848	-0.854998	0.517562	0.033281
12718		0.008451	0.078346	-0.996890	-0.518708	-0.851968	-0.071354	-0.854909	0.517698	0.033439
12719		0.008094	0.077976	-0.996922	-0.518626	-0.852060	-0.070856	-0.854963	0.517604	0.033544
12720		0.007731	0.077640	-0.996951	-0.518243	-0.852331	-0.070396	-0.855198	0.517208	0.033647
12721		0.007376	0.077164	-0.996991	-0.517710	-0.852702	-0.069827	-0.855524	0.516667	0.033659
12722		0.007047	0.076513	-0.997044	-0.517082	-0.853140	-0.069124	-0.855907	0.516041	0.033552
12723		0.006628	0.075914	-0.997092	-0.516467	-0.853570	-0.068420	-0.856282	0.515418	0.033549
12724		0.006103	0.075591	-0.997120	-0.516235	-0.853753	-0.067882	-0.856425	0.515162	0.033812
12725		0.005654	0.075391	-0.997138	-0.516286	-0.853754	-0.067478	-0.856397	0.515190	0.034097
12726		0.005321	0.075344	-0.997143	-0.516101	-0.853882	-0.067273	-0.856511	0.514984	0.034341
12727		0.004927	0.075402	-0.997141	-0.515997	-0.853956	-0.067124	-0.856576	0.514853	0.034700
12728		0.004475	0.075490	-0.997136	-0.515876	-0.854041	-0.066972	-0.856652	0.514699	0.035122
12729		0.004095	0.075640	-0.997127	-0.515616	-0.854203	-0.066916	-0.856810	0.514408	0.035503
12730		0.003648	0.075970	-0.997103	-0.515842	-0.854063	-0.066959	-0.856676	0.514592	0.036073
12731		0.003413	0.076402	-0.997071	-0.515997	-0.853950	-0.067202	-0.856584	0.514715	0.036509
12732		0.003186	0.076856	-0.997037	-0.515853	-0.854015	-0.067479	-0.856671	0.514540	0.036926
12733		0.002976	0.077394	-0.996996	-0.515772	-0.854036	-0.067836	-0.856721	0.514425	0.037376
12734		0.002765	0.078033	-0.996947	-0.515691	-0.854050	-0.068278	-0.856770	0.514305	0.037879
12735		0.002505	0.078768	-0.996890	-0.515733	-0.853985	-0.068772	-0.856746	0.514301	0.038484
12736		0.002331	0.079583	-0.996826	-0.516002	-0.853774	-0.069369	-0.856584	0.514526	0.039075
12737		0.002266	0.080401	-0.996760	-0.516416	-0.853471	-0.070017	-0.856335	0.514901	0.039587
12738		0.002275	0.081213	-0.996694	-0.516964	-0.853083	-0.070691	-0.856004	0.515416	0.040043
12739		0.002264	0.082014	-0.996629	-0.517773	-0.852539	-0.071333	-0.855515	0.516189	0.040534
