// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
16630		-0.064462	0.063645	-0.995889	0.965534	-0.248201	-0.078359	-0.252167	-0.966616	-0.045452
16631		-0.064116	0.063159	-0.995942	0.965892	-0.246969	-0.077843	-0.250883	-0.966963	-0.045170
16632		-0.063783	0.062726	-0.995991	0.966220	-0.245834	-0.077359	-0.249701	-0.967280	-0.044927
16633		-0.063517	0.062415	-0.996027	0.966506	-0.244830	-0.076977	-0.248661	-0.967555	-0.044773
16634		-0.063347	0.062076	-0.996059	0.966851	-0.243561	-0.076669	-0.247360	-0.967897	-0.044589
16635		-0.063172	0.061719	-0.996092	0.967075	-0.242760	-0.076374	-0.246525	-0.968121	-0.044352
16636		-0.062964	0.061480	-0.996120	0.967405	-0.241542	-0.076057	-0.245281	-0.968441	-0.044267
16637		-0.062728	0.061282	-0.996147	0.967646	-0.240677	-0.075740	-0.244391	-0.968669	-0.044202
16638		-0.062487	0.061079	-0.996175	0.967965	-0.239496	-0.075402	-0.243185	-0.968974	-0.044157
16639		-0.062234	0.060916	-0.996201	0.968176	-0.238743	-0.075082	-0.242410	-0.969170	-0.044119
16640		-0.061956	0.060857	-0.996222	0.968317	-0.238266	-0.074776	-0.241916	-0.969291	-0.044167
16641		-0.061729	0.060761	-0.996242	0.968395	-0.238029	-0.074521	-0.241663	-0.969356	-0.044148
16642		-0.061444	0.060623	-0.996268	0.968498	-0.237712	-0.074197	-0.241322	-0.969442	-0.044108
16643		-0.060975	0.060527	-0.996302	0.968501	-0.237848	-0.073723	-0.241431	-0.969415	-0.044118
16645		-0.060059	0.060311	-0.996371	0.968521	-0.238051	-0.072790	-0.241577	-0.969378	-0.044115
16646		-0.059547	0.060043	-0.996418	0.968567	-0.238035	-0.072226	-0.241519	-0.969399	-0.043982
16647		-0.058958	0.059806	-0.996467	0.968860	-0.237047	-0.071551	-0.240489	-0.969656	-0.043968
16648		-0.058317	0.059606	-0.996517	0.969069	-0.236402	-0.070851	-0.239802	-0.969825	-0.043976
16649		-0.057672	0.059408	-0.996566	0.969298	-0.235672	-0.070143	-0.239030	-0.970015	-0.043992
16650		-0.057107	0.059339	-0.996603	0.969485	-0.235078	-0.069550	-0.238406	-0.970164	-0.044103
16651		-0.056527	0.059179	-0.996646	0.969725	-0.234276	-0.068911	-0.237569	-0.970367	-0.044145
16652		-0.056033	0.059033	-0.996682	0.969853	-0.233899	-0.068379	-0.237159	-0.970467	-0.044147
16653		-0.055458	0.058896	-0.996722	0.970013	-0.233415	-0.067764	-0.236641	-0.970592	-0.044186
16654		-0.054827	0.058758	-0.996765	0.970044	-0.233474	-0.067120	-0.236663	-0.970586	-0.044197
16655		-0.054188	0.058422	-0.996820	0.970281	-0.232697	-0.066383	-0.235836	-0.970793	-0.044077
16656		-0.053412	0.058038	-0.996885	0.970545	-0.231847	-0.065499	-0.234926	-0.971019	-0.043945
16657		-0.052636	0.057786	-0.996940	0.970840	-0.230850	-0.064639	-0.233879	-0.971272	-0.043950
16658		-0.052010	0.057521	-0.996989	0.971130	-0.229829	-0.063921	-0.232813	-0.971530	-0.043907
16659		-0.051574	0.057304	-0.997024	0.971481	-0.228488	-0.063385	-0.231440	-0.971859	-0.043886
16660		-0.051165	0.057143	-0.997054	0.971701	-0.227681	-0.062913	-0.230606	-0.972058	-0.043876
16661		-0.050832	0.057003	-0.997079	0.971905	-0.226917	-0.062521	-0.229819	-0.972244	-0.043867
16662		-0.050550	0.056855	-0.997102	0.972006	-0.226576	-0.062197	-0.229455	-0.972333	-0.043810
16663		-0.050307	0.056672	-0.997125	0.972125	-0.226143	-0.061898	-0.229001	-0.972444	-0.043716
16664		-0.050144	0.056495	-0.997143	0.972151	-0.226088	-0.061697	-0.228927	-0.972467	-0.043584
16665		-0.050015	0.056353	-0.997157	0.972215	-0.225861	-0.061528	-0.228686	-0.972528	-0.043491
16666		-0.049992	0.056231	-0.997165	0.972270	-0.225637	-0.061468	-0.228454	-0.972587	-0.043392
16667		-0.050021	0.056063	-0.997173	0.972358	-0.225268	-0.061441	-0.228075	-0.972683	-0.043245
16668		-0.049974	0.055906	-0.997185	0.972460	-0.224855	-0.061341	-0.227651	-0.972787	-0.043130
16669		-0.049937	0.055717	-0.997197	0.972655	-0.224040	-0.061226	-0.226823	-0.972986	-0.043005
16670		-0.049846	0.055513	-0.997213	0.972729	-0.223759	-0.061078	-0.226526	-0.973062	-0.042846
16671		-0.049783	0.055379	-0.997224	0.972760	-0.223650	-0.060982	-0.226407	-0.973095	-0.042737
