// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
52533		-0.192644	0.055863	-0.979677	-0.549787	-0.833103	0.060605	-0.812787	0.550289	0.191205
52534		-0.192926	0.056032	-0.979612	-0.550056	-0.832920	0.060687	-0.812538	0.550550	0.191512
52535		-0.193200	0.056204	-0.979548	-0.550369	-0.832707	0.060773	-0.812261	0.550855	0.191811
52536		-0.193403	0.056277	-0.979504	-0.550600	-0.832546	0.060882	-0.812056	0.551090	0.192003
52537		-0.193739	0.056378	-0.979432	-0.550842	-0.832374	0.061048	-0.811812	0.551339	0.192319
52538		-0.194091	0.056531	-0.979353	-0.551202	-0.832124	0.061207	-0.811483	0.551701	0.192668
52539		-0.194465	0.056569	-0.979277	-0.551430	-0.831955	0.061444	-0.811239	0.551952	0.192980
52540		-0.194773	0.056626	-0.979212	-0.551805	-0.831690	0.061663	-0.810910	0.552345	0.193238
52541		-0.195076	0.056638	-0.979151	-0.552195	-0.831412	0.061921	-0.810572	0.552762	0.193463
52542		-0.195363	0.056656	-0.979093	-0.552625	-0.831108	0.062175	-0.810209	0.553218	0.193677
52543		-0.195581	0.056645	-0.979050	-0.552921	-0.830895	0.062382	-0.809954	0.553539	0.193827
52544		-0.195835	0.056695	-0.978997	-0.553396	-0.830563	0.062600	-0.809569	0.554032	0.194028
52545		-0.196002	0.056753	-0.978960	-0.554047	-0.830113	0.062804	-0.809083	0.554699	0.194148
52546		-0.196187	0.056804	-0.978920	-0.554664	-0.829685	0.063017	-0.808615	0.555335	0.194280
52548		-0.196592	0.057090	-0.978822	-0.556974	-0.828094	0.063567	-0.806927	0.557675	0.194594
52549		-0.196664	0.057126	-0.978805	-0.557956	-0.827413	0.063816	-0.806231	0.558681	0.194596
52550		-0.196855	0.057130	-0.978767	-0.558750	-0.826854	0.064116	-0.805634	0.559508	0.194692
52551		-0.197030	0.057232	-0.978726	-0.559574	-0.826280	0.064331	-0.805019	0.560345	0.194827
