// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
52533		0.194345	-0.009838	-0.980884	-0.635027	-0.763399	-0.118163	-0.747643	0.645853	-0.154610
52534		0.194099	-0.009841	-0.980933	-0.635565	-0.762960	-0.118106	-0.747250	0.646371	-0.154344
52535		0.193911	-0.009860	-0.980970	-0.636215	-0.762419	-0.118099	-0.746746	0.647008	-0.154114
52536		0.193710	-0.009941	-0.981008	-0.636982	-0.761785	-0.118059	-0.746143	0.647754	-0.153898
52537		0.193503	-0.010056	-0.981048	-0.637829	-0.761084	-0.118005	-0.745473	0.648576	-0.153686
52538		0.193155	-0.010180	-0.981115	-0.638301	-0.760725	-0.117771	-0.745160	0.648995	-0.153436
52539		0.192841	-0.010395	-0.981175	-0.638620	-0.760505	-0.117458	-0.744967	0.649249	-0.153295
52540		0.192403	-0.010621	-0.981259	-0.638901	-0.760333	-0.117045	-0.744840	0.649447	-0.153076
52541		0.191857	-0.010913	-0.981362	-0.639352	-0.760031	-0.116542	-0.744594	0.649795	-0.152794
52542		0.191187	-0.011246	-0.981489	-0.639994	-0.759579	-0.115963	-0.744215	0.650318	-0.152418
52543		0.190584	-0.011813	-0.981600	-0.641103	-0.758738	-0.115343	-0.743415	0.651289	-0.152177
52544		0.189865	-0.012476	-0.981731	-0.642314	-0.757827	-0.114592	-0.742553	0.652336	-0.151899
52545		0.189017	-0.013258	-0.981884	-0.643736	-0.756754	-0.113704	-0.741537	0.653566	-0.151574
52546		0.188188	-0.014187	-0.982031	-0.645349	-0.755521	-0.112755	-0.740345	0.654971	-0.151335
52548		0.186327	-0.016487	-0.982349	-0.649540	-0.752243	-0.110576	-0.737143	0.658679	-0.150872
52549		0.185109	-0.017709	-0.982558	-0.652040	-0.750262	-0.109319	-0.735240	0.660904	-0.150427
52550		0.183821	-0.019062	-0.982775	-0.654723	-0.748121	-0.107951	-0.733176	0.663289	-0.150000
