// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
06814		0.019105	0.118784	-0.992736	-0.978994	-0.199367	-0.042696	-0.202991	0.972699	0.112480
06815		0.019323	0.118786	-0.992732	-0.979037	-0.199118	-0.042882	-0.202764	0.972750	0.112448
06816		0.019514	0.118750	-0.992732	-0.979091	-0.198820	-0.043028	-0.202485	0.972815	0.112387
06817		0.019718	0.118666	-0.992738	-0.979131	-0.198587	-0.043186	-0.202270	0.972873	0.112274
06818		0.019896	0.118604	-0.992742	-0.979171	-0.198362	-0.043323	-0.202061	0.972926	0.112187
06819		0.020111	0.118544	-0.992745	-0.979204	-0.198162	-0.043499	-0.201881	0.972974	0.112093
06820		0.020303	0.118516	-0.992745	-0.979250	-0.197900	-0.043653	-0.201638	0.973031	0.112039
06821		0.020534	0.118469	-0.992745	-0.979310	-0.197564	-0.043832	-0.201323	0.973105	0.111961
06822		0.020793	0.118436	-0.992744	-0.979381	-0.197162	-0.044035	-0.200947	0.973191	0.111895
06823		0.021117	0.118445	-0.992736	-0.979460	-0.196710	-0.044305	-0.200529	0.973281	0.111858
06824		0.021433	0.118416	-0.992733	-0.979554	-0.196186	-0.044550	-0.200036	0.973390	0.111790
06825		0.021743	0.118372	-0.992731	-0.979649	-0.195660	-0.044786	-0.199539	0.973501	0.111709
06826		0.022103	0.118364	-0.992724	-0.979741	-0.195131	-0.045080	-0.199047	0.973609	0.111653
06827		0.022414	0.118306	-0.992724	-0.979821	-0.194671	-0.045323	-0.198616	0.973708	0.111555
06828		0.022728	0.118251	-0.992724	-0.979895	-0.194237	-0.045571	-0.198213	0.973801	0.111459
06829		0.023035	0.118138	-0.992730	-0.979949	-0.193909	-0.045814	-0.197911	0.973880	0.111302
06830		0.023353	0.118079	-0.992730	-0.979993	-0.193622	-0.046083	-0.197656	0.973945	0.111195
06831		0.023621	0.118018	-0.992730	-0.980049	-0.193288	-0.046298	-0.197347	0.974018	0.111098
06832		0.023945	0.118028	-0.992722	-0.980114	-0.192891	-0.046574	-0.196984	0.974096	0.111062
06833		0.024254	0.118022	-0.992715	-0.980197	-0.192407	-0.046823	-0.196531	0.974192	0.111018
06834		0.024563	0.118066	-0.992702	-0.980304	-0.191804	-0.047069	-0.195961	0.974306	0.111029
06835		0.024933	0.118058	-0.992694	-0.980389	-0.191293	-0.047374	-0.195488	0.974407	0.110974
06836		0.025418	0.118178	-0.992667	-0.980476	-0.190736	-0.047813	-0.194988	0.974502	0.111022
06837		0.026125	0.118473	-0.992614	-0.980631	-0.189777	-0.048460	-0.194117	0.974653	0.111220
06838		0.026999	0.119000	-0.992527	-0.980897	-0.188192	-0.049246	-0.192646	0.974896	0.111646
06839		0.027923	0.119648	-0.992424	-0.981228	-0.186241	-0.050062	-0.190819	0.975192	0.112202
06840		0.028950	0.120440	-0.992298	-0.981583	-0.184108	-0.050983	-0.188831	0.975499	0.112892
06841		0.030069	0.121455	-0.992141	-0.981950	-0.181847	-0.052021	-0.186736	0.975797	0.113795
06842		0.031331	0.122645	-0.991956	-0.982343	-0.179363	-0.053203	-0.184445	0.976108	0.114860
06843		0.032665	0.123987	-0.991746	-0.982729	-0.176851	-0.054478	-0.182146	0.976397	0.116069
06844		0.034203	0.125445	-0.991511	-0.983069	-0.174475	-0.055986	-0.180017	0.976638	0.117354
06845		0.035993	0.127050	-0.991243	-0.983359	-0.172236	-0.057783	-0.178070	0.976828	0.118737
06846		0.037982	0.128807	-0.990942	-0.983634	-0.169966	-0.059795	-0.176128	0.976996	0.120244
06847		0.040042	0.130722	-0.990610	-0.983919	-0.167554	-0.061882	-0.174070	0.977158	0.121911
06848		0.042164	0.132767	-0.990250	-0.984220	-0.164958	-0.064024	-0.171850	0.977324	0.123717
06849		0.044374	0.134908	-0.989864	-0.984532	-0.162202	-0.066242	-0.169495	0.977492	0.125623
06850		0.046723	0.137079	-0.989458	-0.984861	-0.159213	-0.068563	-0.166933	0.977681	0.127565
06851		0.049129	0.139254	-0.989037	-0.985133	-0.156449	-0.070963	-0.164616	0.977820	0.129497
06852		0.051688	0.141551	-0.988581	-0.985391	-0.153624	-0.073518	-0.162276	0.977938	0.131543
06853		0.054277	0.143879	-0.988106	-0.985663	-0.150602	-0.076072	-0.159756	0.978069	0.133642
06854		0.056895	0.146248	-0.987610	-0.985916	-0.147589	-0.078653	-0.157263	0.978176	0.135791
06855		0.059528	0.148636	-0.987099	-0.986166	-0.144494	-0.081230	-0.154704	0.978278	0.137978
06856		0.062157	0.151067	-0.986567	-0.986423	-0.141250	-0.083776	-0.152009	0.978380	0.140237
06857		0.064777	0.153662	-0.985998	-0.986712	-0.137675	-0.086280	-0.149005	0.978485	0.142702
06858		0.067408	0.156363	-0.985397	-0.987041	-0.133704	-0.088736	-0.145626	0.978608	0.145324
06859		0.070057	0.159098	-0.984774	-0.987356	-0.129664	-0.091189	-0.142198	0.978711	0.148003
06860		0.072841	0.162015	-0.984096	-0.987660	-0.125448	-0.093758	-0.138643	0.978782	0.150878
06861		0.075633	0.165157	-0.983363	-0.987992	-0.120839	-0.096284	-0.134730	0.978837	0.154034
06862		0.078416	0.168540	-0.982571	-0.988350	-0.115818	-0.098744	-0.130442	0.978867	0.157495
06863		0.081118	0.172045	-0.981743	-0.988688	-0.110785	-0.101106	-0.126158	0.978840	0.161113
06864		0.083754	0.175623	-0.980888	-0.988977	-0.105966	-0.103417	-0.122104	0.978738	0.164812
06865		0.086398	0.179289	-0.979995	-0.989186	-0.101585	-0.105794	-0.118521	0.978538	0.168573
06866		0.089044	0.182991	-0.979074	-0.989361	-0.097287	-0.108163	-0.115044	0.978289	0.172382
06867		0.091645	0.186759	-0.978122	-0.989511	-0.093065	-0.110481	-0.111662	0.977988	0.176271
06868		0.094321	0.190536	-0.977138	-0.989611	-0.089028	-0.112885	-0.108502	0.977635	0.180159
06869		0.096994	0.194224	-0.976150	-0.989682	-0.085099	-0.115271	-0.105457	0.977259	0.183966
06870		0.099600	0.197778	-0.975174	-0.989710	-0.081492	-0.117612	-0.102730	0.976854	0.187627
06871		0.102223	0.201145	-0.974213	-0.989715	-0.077958	-0.119946	-0.100075	0.976454	0.191107
06872		0.104857	0.204420	-0.973251	-0.989746	-0.073999	-0.122177	-0.096995	0.976082	0.194565
06873		0.107501	0.207602	-0.972289	-0.989801	-0.069601	-0.124298	-0.093477	0.975734	0.198003
06874		0.110092	0.210600	-0.971353	-0.989875	-0.064865	-0.126255	-0.089596	0.975418	0.201327
06875		0.112516	0.213334	-0.970479	-0.989943	-0.060215	-0.128009	-0.085746	0.975122	0.204413
06876		0.114863	0.215888	-0.969638	-0.989981	-0.055818	-0.129701	-0.082124	0.974821	0.207314
06877		0.117191	0.218361	-0.968806	-0.990013	-0.051288	-0.131316	-0.078362	0.974519	0.210169
06878		0.119579	0.220841	-0.967951	-0.990043	-0.046409	-0.132897	-0.074271	0.974205	0.213093
06879		0.121954	0.223250	-0.967102	-0.990069	-0.041287	-0.134381	-0.069930	0.973887	0.215998
06880		0.124294	0.225495	-0.966283	-0.990085	-0.036050	-0.135768	-0.065449	0.973577	0.218778
06881		0.126616	0.227576	-0.965493	-0.990068	-0.030965	-0.137138	-0.061106	0.973268	0.221395
06882		0.129073	0.229536	-0.964704	-0.990001	-0.025997	-0.138643	-0.056903	0.972953	0.223885
06883		0.131660	0.231363	-0.963917	-0.989882	-0.021215	-0.140299	-0.052910	0.972636	0.226229
06884		0.134287	0.233033	-0.963152	-0.989729	-0.016541	-0.141994	-0.049021	0.972328	0.228419
06885		0.137045	0.234503	-0.962407	-0.989526	-0.012078	-0.143850	-0.045357	0.972040	0.230391
06886		0.140046	0.235722	-0.961677	-0.989265	-0.007634	-0.145935	-0.041742	0.971790	0.232123
06887		0.143232	0.236824	-0.960936	-0.988966	-0.002853	-0.148114	-0.037818	0.971548	0.233802
06888		0.146686	0.237867	-0.960157	-0.988616	0.002385	-0.150443	-0.033495	0.971295	0.235509
06889		0.150368	0.238975	-0.959312	-0.988217	0.008289	-0.152834	-0.028572	0.970990	0.237406
06890		0.154275	0.240108	-0.958409	-0.987757	0.014756	-0.155302	-0.023147	0.970634	0.239445
06891		0.158368	0.241346	-0.957430	-0.987230	0.021776	-0.157809	-0.017238	0.970195	0.241713
06892		0.162701	0.242720	-0.956355	-0.986618	0.029582	-0.160342	-0.010627	0.969645	0.244285
