// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
06814		-0.205786	-0.095628	-0.973913	0.719383	0.659913	-0.216801	0.663431	-0.745231	-0.067008
06815		-0.205644	-0.095580	-0.973948	0.719438	0.659897	-0.216666	0.663415	-0.745251	-0.066940
06816		-0.205503	-0.095547	-0.973981	0.719459	0.659917	-0.216538	0.663436	-0.745239	-0.066872
06817		-0.205334	-0.095511	-0.974020	0.719464	0.659962	-0.216385	0.663483	-0.745203	-0.066796
06818		-0.205200	-0.095494	-0.974050	0.719454	0.660010	-0.216271	0.663535	-0.745163	-0.066730
06819		-0.205044	-0.095513	-0.974081	0.719431	0.660070	-0.216163	0.663609	-0.745107	-0.066628
06820		-0.204914	-0.095516	-0.974108	0.719452	0.660079	-0.216068	0.663626	-0.745099	-0.066540
06821		-0.204777	-0.095537	-0.974135	0.719474	0.660082	-0.215981	0.663644	-0.745093	-0.066433
06822		-0.204626	-0.095545	-0.974166	0.719569	0.660012	-0.215880	0.663587	-0.745155	-0.066304
06823		-0.204441	-0.095573	-0.974202	0.719697	0.659908	-0.215772	0.663505	-0.745243	-0.066129
06824		-0.204243	-0.095555	-0.974245	0.719891	0.659743	-0.215628	0.663356	-0.745391	-0.065959
06825		-0.204034	-0.095532	-0.974291	0.720117	0.659547	-0.215476	0.663176	-0.745568	-0.065775
06826		-0.203799	-0.095454	-0.974348	0.720410	0.659293	-0.215273	0.662929	-0.745803	-0.065597
06827		-0.203570	-0.095368	-0.974405	0.720723	0.659016	-0.215071	0.662659	-0.746058	-0.065422
06828		-0.203339	-0.095325	-0.974457	0.721064	0.658699	-0.214901	0.662359	-0.746344	-0.065204
06829		-0.203117	-0.095283	-0.974507	0.721379	0.658409	-0.214733	0.662085	-0.746605	-0.064999
06830		-0.202914	-0.095249	-0.974553	0.721746	0.658052	-0.214592	0.661746	-0.746924	-0.064783
06831		-0.202755	-0.095266	-0.974584	0.722030	0.657768	-0.214510	0.661486	-0.747172	-0.064581
06832		-0.202659	-0.095288	-0.974602	0.722308	0.657472	-0.214479	0.661211	-0.747429	-0.064415
06833		-0.202663	-0.095328	-0.974597	0.722576	0.657159	-0.214535	0.660917	-0.747699	-0.064300
06834		-0.202701	-0.095350	-0.974588	0.722866	0.656817	-0.214606	0.660588	-0.747997	-0.064212
06835		-0.202790	-0.095385	-0.974566	0.723193	0.656417	-0.214730	0.660203	-0.748344	-0.064133
06836		-0.202941	-0.095427	-0.974530	0.723584	0.655926	-0.214912	0.659727	-0.748769	-0.064065
06837		-0.203108	-0.095452	-0.974493	0.724088	0.655307	-0.215105	0.659124	-0.749308	-0.063982
06838		-0.203261	-0.095476	-0.974458	0.724734	0.654527	-0.215301	0.658366	-0.749986	-0.063846
06839		-0.203438	-0.095519	-0.974417	0.725403	0.653710	-0.215530	0.657574	-0.750693	-0.063700
06840		-0.203670	-0.095571	-0.974364	0.726044	0.652907	-0.215805	0.656794	-0.751384	-0.063589
06841		-0.203939	-0.095644	-0.974300	0.726643	0.652137	-0.216118	0.656047	-0.752044	-0.063497
06842		-0.204283	-0.095726	-0.974220	0.727186	0.651409	-0.216489	0.655339	-0.752664	-0.063461
06843		-0.204682	-0.095790	-0.974130	0.727692	0.650710	-0.216888	0.654652	-0.753260	-0.063483
06844		-0.205119	-0.095911	-0.974026	0.728221	0.649961	-0.217356	0.653926	-0.753891	-0.063476
06845		-0.205517	-0.095977	-0.973936	0.728845	0.649125	-0.217766	0.653106	-0.754603	-0.063454
06846		-0.205919	-0.096044	-0.973844	0.729542	0.648199	-0.218189	0.652201	-0.755390	-0.063409
06847		-0.206355	-0.096110	-0.973746	0.730311	0.647179	-0.218644	0.651201	-0.756256	-0.063359
06848		-0.206734	-0.096224	-0.973654	0.731103	0.646134	-0.219090	0.650192	-0.757134	-0.063228
06849		-0.207148	-0.096321	-0.973556	0.731904	0.645069	-0.219552	0.649158	-0.758029	-0.063127
06850		-0.207635	-0.096479	-0.973437	0.732785	0.643873	-0.220120	0.648007	-0.759025	-0.062992
06851		-0.208289	-0.096649	-0.973280	0.733766	0.642510	-0.220834	0.646686	-0.760157	-0.062910
06852		-0.209195	-0.096815	-0.973070	0.734848	0.640955	-0.221752	0.645163	-0.761448	-0.062940
06853		-0.210318	-0.097052	-0.972804	0.735914	0.639337	-0.222887	0.643581	-0.762777	-0.063042
06854		-0.211657	-0.097416	-0.972477	0.736883	0.637737	-0.224265	0.642031	-0.764069	-0.063197
06855		-0.213268	-0.097983	-0.972068	0.737882	0.635969	-0.225993	0.640349	-0.765469	-0.063332
06856		-0.215001	-0.098649	-0.971619	0.739131	0.633831	-0.227909	0.638325	-0.767155	-0.063360
06857		-0.216909	-0.099380	-0.971120	0.740650	0.631286	-0.230034	0.635915	-0.769156	-0.063326
06858		-0.218932	-0.100124	-0.970590	0.742289	0.628535	-0.232273	0.633305	-0.771310	-0.063285
06859		-0.220916	-0.100969	-0.970052	0.743860	0.625829	-0.234544	0.630768	-0.773398	-0.063148
06860		-0.222933	-0.101990	-0.969484	0.745272	0.623241	-0.236941	0.628387	-0.775351	-0.062931
06861		-0.225051	-0.103049	-0.968882	0.746510	0.620805	-0.239426	0.626159	-0.777163	-0.062786
06862		-0.227132	-0.104210	-0.968272	0.747666	0.618433	-0.241942	0.624025	-0.778897	-0.062552
06863		-0.229325	-0.105381	-0.967628	0.748661	0.616204	-0.244539	0.622026	-0.780505	-0.062417
06864		-0.231565	-0.106521	-0.966970	0.749645	0.613960	-0.247154	0.620008	-0.782117	-0.062319
06865		-0.233870	-0.107796	-0.966274	0.750644	0.611619	-0.249912	0.617931	-0.783775	-0.062123
06866		-0.236427	-0.109088	-0.965506	0.751749	0.609030	-0.252895	0.615610	-0.785609	-0.061985
06867		-0.239377	-0.110445	-0.964624	0.752876	0.606233	-0.256242	0.613088	-0.787581	-0.061967
06868		-0.242568	-0.111941	-0.963655	0.753952	0.603344	-0.259869	0.610506	-0.789585	-0.061953
06869		-0.246064	-0.113602	-0.962573	0.754929	0.600391	-0.263841	0.607893	-0.791597	-0.061973
06870		-0.249801	-0.115298	-0.961408	0.755845	0.597376	-0.268031	0.605225	-0.793630	-0.062077
06871		-0.253747	-0.117001	-0.960168	0.756887	0.594065	-0.272414	0.602275	-0.795863	-0.062185
06872		-0.257764	-0.118727	-0.958886	0.758150	0.590368	-0.276901	0.598971	-0.798354	-0.062163
06873		-0.261828	-0.120515	-0.957561	0.759584	0.586340	-0.281489	0.595380	-0.801050	-0.061978
06874		-0.265987	-0.122310	-0.956186	0.761015	0.582207	-0.286168	0.591699	-0.803788	-0.061780
06875		-0.270331	-0.124117	-0.954733	0.762231	0.578211	-0.290993	0.588154	-0.806392	-0.061703
06876		-0.274819	-0.126008	-0.953203	0.763286	0.574274	-0.295980	0.584695	-0.808908	-0.061642
06877		-0.279404	-0.127942	-0.951611	0.764190	0.570414	-0.301066	0.581332	-0.811331	-0.061604
06878		-0.284037	-0.129827	-0.949983	0.765016	0.566581	-0.306164	0.577991	-0.813714	-0.061610
06879		-0.288697	-0.131803	-0.948305	0.765760	0.562742	-0.311339	0.574687	-0.816057	-0.061533
06880		-0.293343	-0.133735	-0.946607	0.766446	0.558929	-0.316478	0.571411	-0.818360	-0.061457
06881		-0.298026	-0.135623	-0.944874	0.766976	0.555259	-0.321614	0.568268	-0.820545	-0.061462
06882		-0.302582	-0.137401	-0.943168	0.767561	0.551532	-0.326592	0.565062	-0.822759	-0.061420
06883		-0.307042	-0.139144	-0.941469	0.768169	0.547756	-0.331480	0.561819	-0.824986	-0.061298
06884		-0.311335	-0.140713	-0.939825	0.768892	0.543888	-0.336142	0.558459	-0.827276	-0.061138
06885		-0.315562	-0.142172	-0.938194	0.769631	0.539996	-0.340695	0.555058	-0.829573	-0.060982
06886		-0.319587	-0.143503	-0.936628	0.770480	0.536023	-0.345021	0.551565	-0.831917	-0.060740
06887		-0.323487	-0.144896	-0.935073	0.771264	0.532127	-0.349274	0.548186	-0.834174	-0.060384
06888		-0.327062	-0.146195	-0.933626	0.772097	0.528312	-0.353204	0.544882	-0.836369	-0.059914
06889		-0.330405	-0.147443	-0.932251	0.772910	0.524623	-0.356906	0.541704	-0.838470	-0.059378
06890		-0.333426	-0.148528	-0.931003	0.773876	0.520897	-0.360254	0.538464	-0.840599	-0.058738
06891		-0.336191	-0.149531	-0.929847	0.774918	0.517186	-0.363346	0.535236	-0.842709	-0.057999
06892		-0.338652	-0.150441	-0.928807	0.776162	0.513334	-0.366142	0.531871	-0.844900	-0.057075
06893		-0.340970	-0.151196	-0.927836	0.777461	0.509499	-0.368734	0.528483	-0.847083	-0.056175
06894		-0.343103	-0.151789	-0.926952	0.778839	0.505674	-0.371084	0.525062	-0.849267	-0.055279
06895		-0.345220	-0.152403	-0.926065	0.780140	0.501933	-0.373425	0.521733	-0.851374	-0.054381
06896		-0.347335	-0.152867	-0.925197	0.781450	0.498194	-0.375685	0.518357	-0.853484	-0.053583
06897		-0.349421	-0.153286	-0.924342	0.782723	0.494513	-0.377892	0.515024	-0.855547	-0.052813
06898		-0.351401	-0.153598	-0.923539	0.784158	0.490634	-0.379967	0.511482	-0.857721	-0.051964
06899		-0.353293	-0.153787	-0.922786	0.785714	0.486619	-0.381912	0.507778	-0.859972	-0.051086
06900		-0.355094	-0.153749	-0.922100	0.787444	0.482415	-0.383676	0.503825	-0.862344	-0.050234
06901		-0.356805	-0.153537	-0.921475	0.789274	0.478128	-0.385281	0.499738	-0.864766	-0.049415
06902		-0.358238	-0.153145	-0.920984	0.791305	0.473710	-0.386567	0.495481	-0.867263	-0.048517
06903		-0.359577	-0.152609	-0.920552	0.793394	0.469267	-0.387703	0.491152	-0.869769	-0.047658
06904		-0.360695	-0.151903	-0.920231	0.795675	0.464662	-0.388576	0.486622	-0.872362	-0.046735
06905		-0.361645	-0.151082	-0.919993	0.798059	0.459983	-0.389252	0.481990	-0.874980	-0.045778
06906		-0.362412	-0.150156	-0.919843	0.800586	0.455166	-0.389727	0.477201	-0.877654	-0.044745
06907		-0.363009	-0.149221	-0.919759	0.803152	0.450342	-0.390050	0.472410	-0.880298	-0.043631
06908		-0.363442	-0.148225	-0.919750	0.805743	0.445561	-0.390197	0.467642	-0.882895	-0.042504
06909		-0.363784	-0.147231	-0.919774	0.808246	0.440950	-0.390258	0.463033	-0.885373	-0.041412
06910		-0.364072	-0.146257	-0.919815	0.810664	0.436477	-0.390272	0.458558	-0.887748	-0.040344
06911		-0.364417	-0.145396	-0.919815	0.812934	0.432136	-0.390381	0.454245	-0.890010	-0.039281
06912		-0.364987	-0.144621	-0.919711	0.815043	0.427831	-0.390724	0.449988	-0.892214	-0.038280
06913		-0.365818	-0.144035	-0.919473	0.816850	0.423773	-0.391373	0.446019	-0.894243	-0.037368
06914		-0.366852	-0.143595	-0.919130	0.818390	0.419968	-0.392256	0.442331	-0.896107	-0.036549
