// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
06814		-0.173955	-0.121678	-0.977207	-0.880006	-0.426156	0.209716	-0.441961	0.896429	-0.032945
06815		-0.173862	-0.121759	-0.977214	-0.880044	-0.426102	0.209666	-0.441921	0.896444	-0.033070
06816		-0.173753	-0.121795	-0.977229	-0.880102	-0.426024	0.209581	-0.441848	0.896476	-0.033170
06817		-0.173642	-0.121846	-0.977242	-0.880166	-0.425932	0.209500	-0.441765	0.896513	-0.033285
06818		-0.173522	-0.121889	-0.977258	-0.880280	-0.425742	0.209404	-0.441584	0.896597	-0.033421
06819		-0.173418	-0.121898	-0.977275	-0.880402	-0.425540	0.209306	-0.441383	0.896692	-0.033523
06820		-0.173281	-0.121941	-0.977294	-0.880577	-0.425233	0.209190	-0.441086	0.896832	-0.033694
06821		-0.173153	-0.121949	-0.977316	-0.880764	-0.424908	0.209067	-0.440765	0.896985	-0.033834
06822		-0.173020	-0.121991	-0.977334	-0.880950	-0.424578	0.208952	-0.440445	0.897135	-0.034007
06823		-0.172880	-0.122028	-0.977355	-0.881126	-0.424272	0.208831	-0.440147	0.897275	-0.034174
06824		-0.172724	-0.122064	-0.977377	-0.881308	-0.423960	0.208695	-0.439843	0.897417	-0.034348
06825		-0.172552	-0.122117	-0.977401	-0.881490	-0.423652	0.208551	-0.439545	0.897556	-0.034543
06826		-0.172376	-0.122201	-0.977422	-0.881688	-0.423308	0.208416	-0.439219	0.897707	-0.034775
06827		-0.172173	-0.122231	-0.977454	-0.881890	-0.422977	0.208233	-0.438893	0.897859	-0.034969
06828		-0.171951	-0.122290	-0.977486	-0.882116	-0.422598	0.208044	-0.438525	0.898029	-0.035208
06829		-0.171713	-0.122311	-0.977525	-0.882322	-0.422276	0.207826	-0.438204	0.898178	-0.035408
06830		-0.171536	-0.122273	-0.977561	-0.882567	-0.421859	0.207633	-0.437780	0.898379	-0.035551
06831		-0.171354	-0.122259	-0.977594	-0.882836	-0.421388	0.207444	-0.437308	0.898602	-0.035728
06832		-0.171188	-0.122250	-0.977624	-0.883101	-0.420917	0.207271	-0.436837	0.898824	-0.035903
06833		-0.171061	-0.122258	-0.977646	-0.883351	-0.420456	0.207142	-0.436382	0.899038	-0.036073
06834		-0.170985	-0.122291	-0.977655	-0.883557	-0.420058	0.207071	-0.435994	0.899220	-0.036227
06835		-0.171030	-0.122379	-0.977636	-0.883701	-0.419722	0.207137	-0.435685	0.899365	-0.036361
06836		-0.171325	-0.122523	-0.977566	-0.883740	-0.419482	0.207457	-0.435490	0.899457	-0.036411
06837		-0.171819	-0.122774	-0.977448	-0.883789	-0.419111	0.207998	-0.435196	0.899596	-0.036495
06838		-0.172490	-0.123256	-0.977269	-0.883839	-0.418608	0.208795	-0.434828	0.899764	-0.036733
06839		-0.173450	-0.123950	-0.977012	-0.883814	-0.418085	0.209945	-0.434497	0.899912	-0.037032
06840		-0.174764	-0.124686	-0.976684	-0.883633	-0.417714	0.211440	-0.434338	0.899982	-0.037175
06841		-0.176391	-0.125578	-0.976277	-0.883325	-0.417427	0.213290	-0.434309	0.899992	-0.037296
06842		-0.178302	-0.126697	-0.975785	-0.882944	-0.417100	0.215494	-0.434303	0.899986	-0.037497
06843		-0.180508	-0.127956	-0.975215	-0.882446	-0.416835	0.218030	-0.434402	0.899931	-0.037672
06844		-0.182991	-0.129295	-0.974575	-0.881798	-0.416720	0.220856	-0.434680	0.899793	-0.037756
06845		-0.185813	-0.130785	-0.973842	-0.880943	-0.416813	0.224065	-0.435215	0.899534	-0.037764
06846		-0.188914	-0.132396	-0.973028	-0.879982	-0.416940	0.227581	-0.435825	0.899240	-0.037740
06847		-0.192406	-0.134022	-0.972120	-0.878905	-0.417078	0.231457	-0.436471	0.898935	-0.037545
06848		-0.196266	-0.135746	-0.971109	-0.877723	-0.417186	0.235708	-0.437130	0.898626	-0.037268
06849		-0.200332	-0.137574	-0.970021	-0.876379	-0.417450	0.240198	-0.437980	0.898225	-0.036938
06850		-0.204625	-0.139441	-0.968857	-0.874826	-0.417963	0.244920	-0.439098	0.897699	-0.036461
06851		-0.209138	-0.141363	-0.967615	-0.873005	-0.418835	0.249879	-0.440594	0.896991	-0.035816
06852		-0.213955	-0.143344	-0.966269	-0.870972	-0.419891	0.255144	-0.442301	0.896183	-0.035011
